format,n,d,payload_bytes,wire_bytes,wire_ratio,build_ms,serialize_ms,deserialize_ms,usable_access_ms,roundtrip_ms,serialize_ms_p95,deserialize_ms_p95,roundtrip_ms_p95,throughput_serialize_MBps,throughput_deserialize_MBps,throughput_roundtrip_MBps,memory_copies,deserialize_peak_kb,reps,speedup_vs_json
json,1000,256,1024000,5284005,5.1602,0.0005,78.7705,37.2055,3.565583,119.5416,82.3329,38.2445,123.5452,12.4,26.25,8.17,2,13311.79,12,1.0
pickle,1000,256,1024000,1024139,1.0001,0.0007,0.0228,0.0215,0.00025,0.0446,0.0246,0.0236,0.0485,42887.2,45334.15,21914.7,1,1001.82,12,2680.305
base64_tobytes,1000,256,1024000,1365336,1.3333,0.0003,0.5729,0.9645,0.001229,1.5386,0.5937,0.9854,1.5547,1704.61,1012.53,634.71,1,1000.22,12,77.695
protobuf,1000,256,1024000,1024010,1.0,0.0003,42.1023,0.0248,0.052417,42.1795,45.6647,0.027,45.7573,23.19,39456.31,23.15,2,1000.96,12,2.834
flatbuffers,1000,256,1024000,1024036,1.0,0.0006,0.1007,0.0011,0.003583,0.1054,0.1091,0.0017,0.1152,9696.97,919098.06,9269.34,0,0.42,12,1134.171
arrow_ipc,1000,256,1024000,1024368,1.0004,1.6788,0.0261,0.0052,0.002605,0.0339,0.0326,0.008,0.0422,37410.48,186757.98,28775.31,0,1.52,12,3526.301
contexttable_ipc,1000,256,1024000,1090296,1.0647,1.5935,0.046,0.0117,0.003312,0.061,0.0646,0.0194,0.086,21210.27,83556.03,15998.21,0,0.9,12,1959.698
json,1000,512,2048000,10564024,5.1582,0.0002,152.1745,69.9261,6.689583,228.7902,155.9578,73.2441,238.6393,12.83,27.93,8.54,2,26436.81,12,1.0
pickle,1000,512,2048000,2048139,1.0001,0.0005,0.041,0.0405,0.000208,0.0817,0.0439,0.0428,0.0853,47661.06,48175.3,23897.41,1,2001.86,12,2800.37
base64_tobytes,1000,512,2048000,2730668,1.3333,0.0003,1.1336,1.5369,0.001209,2.6718,1.1617,1.6268,2.7909,1722.9,1270.79,731.02,1,2000.22,12,85.631
protobuf,1000,512,2048000,2048010,1.0,0.0005,84.3334,0.049,0.087333,84.4697,89.8418,0.0661,89.9816,23.16,39859.72,23.12,2,2000.96,12,2.709
flatbuffers,1000,512,2048000,2048036,1.0,0.0045,0.1922,0.0011,0.003042,0.1963,0.2036,0.0013,0.2084,10162.6,1803419.97,9949.08,0,0.42,12,1165.513
arrow_ipc,1000,512,2048000,2048368,1.0002,0.2591,0.0515,0.0064,0.002875,0.0607,0.2889,0.0202,0.303,37909.3,307384.8,32150.21,0,1.52,12,3769.196
contexttable_ipc,1000,512,2048000,2114296,1.0324,1.7967,0.1009,0.0447,0.006208,0.1518,0.1518,0.0826,0.2415,19353.77,43726.31,12867.11,0,0.9,12,1507.182
json,1000,1024,4096000,21127535,5.1581,0.0005,307.1223,143.0537,13.370541,463.5465,320.5482,145.6066,481.2496,12.72,27.31,8.43,2,53283.99,12,1.0
pickle,1000,1024,4096000,4096139,1.0,0.003,0.0826,0.0826,0.000334,0.1655,0.0883,0.0907,0.1773,47312.37,47264.86,23596.6,1,4001.86,12,2800.885
base64_tobytes,1000,1024,4096000,5461336,1.3333,0.0003,2.2739,3.1073,0.002729,5.3839,2.3492,3.762,6.0595,1717.88,1257.14,725.55,1,4000.22,12,86.099
protobuf,1000,1024,4096000,4096011,1.0,0.0005,197.8093,0.0942,0.1345,198.038,223.8563,0.1069,224.4388,19.75,41473.12,19.72,2,4000.96,12,2.341
flatbuffers,1000,1024,4096000,4096036,1.0,0.0005,0.4086,0.0023,0.004771,0.4157,0.4161,0.0038,0.4262,9559.99,1674331.08,9396.62,0,0.42,12,1115.099
arrow_ipc,1000,1024,4096000,4096368,1.0001,0.1858,0.0841,0.0072,0.003355,0.0946,0.0989,0.0164,0.1115,46468.43,541890.99,41281.15,0,1.52,12,4900.069
contexttable_ipc,1000,1024,4096000,4162296,1.0162,1.4774,0.0603,0.0157,0.004771,0.0808,0.0759,0.0235,0.1031,64744.77,248347.15,48324.88,0,0.9,12,5736.962
