format,n,d,payload_bytes,wire_bytes,wire_ratio,build_ms,serialize_ms,deserialize_ms,usable_access_ms,roundtrip_ms,serialize_ms_p95,deserialize_ms_p95,roundtrip_ms_p95,throughput_serialize_MBps,throughput_deserialize_MBps,throughput_roundtrip_MBps,throughput_roundtrip_MBps_std,memory_copies,deserialize_peak_kb,reps,reuse,speedup_vs_json
json,100,256,102400.0,528649.0,5.1626,0.001725,18.846975,9.50565,1.214007,29.5666,19.919875,9.894375,30.675,5.1825,10.275,3.305,0.0191,2,1326.54,10,False,1.0
pickle,100,256,102400.0,102538.0,1.0013,0.0026249999999999997,0.014525,0.01065,0.0006180000000000001,0.0258,0.029275,0.01945,0.0492,6740.3075,9185.4275,3793.3125,134.499,1,101.79,10,False,1147.75
base64_tobytes,100,256,102400.0,136536.0,1.3334,0.0015,0.20535,0.32505,0.00142175,0.5318499999999999,0.225925,0.36315,0.5864,476.2425,300.63,183.7575,5.6495,1,100.22,10,False,55.6
protobuf,100,256,102400.0,102409.0,1.0001,0.00095,5.7233,0.00975,0.027188,5.760225,5.842725,0.013675,5.888525,17.0625,10834.325,16.955,0.1542,2,100.96,10,False,5.13
flatbuffers,100,256,102400.0,102436.0,1.0004,0.00215,0.05585,0.00285,0.010227,0.068925,0.07542499999999999,0.005475,0.090775,1750.0149999999999,34448.735,1418.145,40.6958,0,0.42,10,False,429.091
arrow_ipc,100,256,102400.0,102768.0,1.0036,0.12455000000000001,0.02035,0.0162,0.0084305,0.045025,0.029275,0.02655,0.06394999999999999,4803.8375,6023.8099999999995,2171.425,64.0623,0,1.52,10,True,657.012
contexttable_ipc,100,256,102400.0,110200.0,1.0762,0.493625,0.01485,0.038849999999999996,0.0102535,0.063975,0.018075,0.063975,0.0921,6572.9375,2514.49,1527.04,28.1984,0,0.9,10,True,462.039
json,500,256,512000.0,2641465.0,5.1591,0.0010249999999999999,95.36580000000001,47.178625,5.9898385,148.534275,97.078075,50.584325,153.317475,5.12,10.3525,3.29,0.0469,2,6652.43,10,False,1.0
pickle,500,256,512000.0,512139.0,1.0003,0.0016,0.048225,0.04865,0.00074375,0.09765,0.100175,0.099975,0.1993,10128.515,10059.9975,5005.6375,203.5146,1,501.82,10,False,1521.47
base64_tobytes,500,256,512000.0,682668.0,1.3333,0.00095,1.063225,1.6694499999999999,0.00962525,2.742325,1.13765,1.7719,2.853075,461.225,292.5575,178.29000000000002,7.476,1,500.22,10,False,54.191
protobuf,500,256,512000.0,512010.0,1.0,0.001,29.061025,0.07402500000000001,0.145236,29.2803,29.940875,0.0903,30.185025,16.805,6733.935,16.6775,0.2458,2,500.96,10,False,5.069
flatbuffers,500,256,512000.0,512036.0,1.0001,0.00115,0.2388,0.004575,0.012857500000000001,0.25625,0.29305,0.0058,0.31884999999999997,2051.5425,106989.815,1911.655,123.6261,0,0.42,10,False,581.05
arrow_ipc,500,256,512000.0,512368.0,1.0007,0.170425,0.047775,0.018175,0.00968075,0.0756,0.06465,0.023925000000000002,0.099725,10231.5475,26879.37,6461.110000000001,147.9471,0,1.52,10,True,1963.863
contexttable_ipc,500,256,512000.0,545800.0,1.066,1.861325,0.045024999999999996,0.046024999999999996,0.013302999999999999,0.10439999999999999,0.060325000000000004,0.07625,0.14697500000000002,10852.9275,10632.15,4684.9425,234.5749,0,0.9,10,True,1423.995
json,1000,256,1024000.0,5283752.0,5.1599,0.0015,203.67337500000002,97.313225,11.94879025,312.93534999999997,207.1014,98.9656,317.0449,4.795,10.035,3.1225,0.0465,2,13311.54,10,False,1.0
pickle,1000,256,1024000.0,1024139.0,1.0001,0.00165,0.1029,0.09695,0.00100425,0.200925,0.201075,0.1754,0.3766,9495.3775,10071.555,4861.415,53.7266,1,1001.82,10,False,1556.898
base64_tobytes,1000,256,1024000.0,1365336.0,1.3333,0.0010249999999999999,2.048325,3.3160499999999997,0.017142,5.3815,2.1971,3.475525,5.5944,476.77750000000003,294.53499999999997,181.475,1.3705,1,1000.22,10,False,58.118
protobuf,1000,256,1024000.0,1024010.0,1.0,0.0011250000000000001,57.24695,0.1436,0.23568425,57.62625,58.53055,0.169725,58.89265,17.06,6818.844999999999,16.95,0.1329,2,1000.96,10,False,5.428
flatbuffers,1000,256,1024000.0,1024036.0,1.0,0.0012499999999999998,0.5170250000000001,0.0059,0.01451825,0.53745,0.599525,0.0078,0.6226,1889.1475,165701.615,1817.3225,28.3488,0,0.42,10,False,582.009
arrow_ipc,1000,256,1024000.0,1024368.0,1.0004,0.135125,0.10122500000000001,0.024,0.012915,0.138175,0.1255,0.033525,0.1731,9669.220000000001,40854.26,7086.2725,416.3414,0,1.52,10,True,2269.423
contexttable_ipc,1000,256,1024000.0,1090296.0,1.0647,3.5332,0.09865,0.054725,0.01709225,0.17045,0.1109,0.07765,0.1951,9907.244999999999,17977.705,5742.245,315.2015,0,0.9,10,True,1838.99
json,5000,256,5120000.0,26416059.0,5.1594,0.0019500000000000001,1030.0062,503.792725,57.38064875,1591.1796,1099.8324499999999,526.39325,1675.74825,4.7375,9.69,3.0725,0.0222,2,66574.575,10,False,1.0
pickle,5000,256,5120000.0,5120139.0,1.0,0.0018,0.9939,0.9003000000000001,0.00231925,1.8965,1.116,1.11505,2.169925,4989.52,5490.65,2595.67,267.5038,1,5001.82,10,False,844.807
base64_tobytes,5000,256,5120000.0,6826668.0,1.3333,0.0011,10.54275,16.629224999999998,0.02477125,27.19675,10.97395,17.109925,27.871375,463.325,293.63,179.5525,1.8634,1,5000.22,10,False,58.439
protobuf,5000,256,5120000.0,5120011.0,1.0,0.001,287.177025,0.968525,1.11705575,289.26265,293.879675,1.106525,295.949125,17.005,5049.1125,16.88,0.1219,2,5000.96,10,False,5.494
flatbuffers,5000,256,5120000.0,5120036.0,1.0,0.00125,4.2164,0.018949999999999998,0.0345445,4.269875,4.5625,0.02915,4.618575,1171.3525,260726.39,1156.5525,134.9098,0,0.42,10,False,376.421
arrow_ipc,5000,256,5120000.0,5120368.0,1.0001,0.128075,0.5115000000000001,0.0338,0.0152915,0.560575,0.5817749999999999,0.041675,0.6412,9648.5875,144787.6275,8794.6675,961.8737,0,1.52,10,True,2862.382
