format,n,d,payload_bytes,wire_bytes,wire_ratio,build_ms,serialize_ms,deserialize_ms,usable_access_ms,roundtrip_ms,serialize_ms_p95,deserialize_ms_p95,roundtrip_ms_p95,throughput_serialize_MBps,throughput_deserialize_MBps,throughput_roundtrip_MBps,throughput_roundtrip_MBps_std,memory_copies,deserialize_peak_kb,reps,reuse,speedup_vs_json
json,100,256,102400.0,528649.0,5.1626,0.0009,18.8187,9.3537,1.195511,29.368,19.1418,9.3829,29.5013,5.19,10.44,3.33,0.03,2,1326.54,20,False,1.0
pickle,100,256,102400.0,102538.0,1.0013,0.0033,0.0138,0.0099,0.00059,0.0242,0.0269,0.0124,0.04,7100.47,9902.78,4034.47,520.62,1,101.79,20,False,1211.553
base64_tobytes,100,256,102400.0,136536.0,1.3334,0.001,0.2127,0.3226,0.001319,0.5366,0.2139,0.3426,0.5568,459.23,302.7,181.99,7.03,1,100.22,20,False,54.652
protobuf,100,256,102400.0,102409.0,1.0001,0.0011,5.3065,0.0052,0.013636,5.3253,5.572,0.0057,5.5907,18.4,18711.68,18.34,0.47,2,100.96,20,False,5.508
flatbuffers,100,256,102400.0,102436.0,1.0004,0.0008,0.0479,0.0024,0.009008,0.0593,0.0634,0.0032,0.0782,2039.48,40698.59,1647.09,152.23,0,0.42,20,False,494.622
arrow_ipc,100,256,102400.0,102768.0,1.0036,0.1275,0.0178,0.0137,0.007655,0.0391,0.0227,0.0182,0.0517,5499.59,7126.63,2496.64,243.84,0,1.52,20,True,749.742
contexttable_ipc,100,256,102400.0,110200.0,1.0762,0.458,0.0126,0.035,0.008742,0.0564,0.015,0.0508,0.0736,7727.8,2786.91,1730.86,164.65,0,0.9,20,True,519.778
json,500,256,512000.0,2641465.0,5.1591,0.0018,97.1418,46.7391,5.786146,149.6671,98.6794,47.4421,151.2247,5.03,10.45,3.26,0.05,2,6652.43,20,False,1.0
pickle,500,256,512000.0,512139.0,1.0003,0.0032,0.0451,0.0475,0.000754,0.0933,0.0955,0.0489,0.1442,10830.96,10288.05,5233.59,680.97,1,501.82,20,False,1605.396
base64_tobytes,500,256,512000.0,682668.0,1.3333,0.001,0.9901,1.6269,0.004833,2.6218,1.0977,1.7209,2.7754,493.18,300.14,186.24,4.41,1,500.22,20,False,57.129
protobuf,500,256,512000.0,512010.0,1.0,0.0013,28.0888,0.0584,0.113656,28.2609,28.5074,0.0935,28.7265,17.38,8355.11,17.28,0.44,2,500.96,20,False,5.301
flatbuffers,500,256,512000.0,512036.0,1.0001,0.0009,0.217,0.0043,0.011835,0.2331,0.2436,0.0049,0.2606,2250.36,113250.91,2094.5,81.77,0,0.42,20,False,642.485
arrow_ipc,500,256,512000.0,512368.0,1.0007,0.1241,0.0473,0.0181,0.010042,0.0755,0.0498,0.0213,0.0821,10326.67,26937.43,6471.42,356.01,0,1.52,20,True,1985.098
contexttable_ipc,500,256,512000.0,545800.0,1.066,1.8191,0.0418,0.0399,0.01211,0.0938,0.0456,0.045,0.1123,11693.54,12232.87,5206.56,300.84,0,0.9,20,True,1597.104
json,1000,256,1024000.0,5283752.0,5.1599,0.0011,193.4355,95.4092,11.474578,300.3193,196.7006,96.8154,303.8418,5.05,10.24,3.25,0.03,2,13311.54,20,False,1.0
pickle,1000,256,1024000.0,1024139.0,1.0001,0.0039,0.0996,0.0942,0.001045,0.1949,0.187,0.1072,0.2952,9800.61,10368.56,5011.26,557.55,1,1001.82,20,False,1541.926
base64_tobytes,1000,256,1024000.0,1365336.0,1.3333,0.001,2.0163,3.3886,0.014629,5.4195,2.1394,3.4529,5.5195,484.34,288.19,180.2,3.14,1,1000.22,20,False,55.446
protobuf,1000,256,1024000.0,1024010.0,1.0,0.001,55.444,0.1315,0.221203,55.7967,56.6577,0.1874,57.0718,17.61,7425.15,17.5,0.55,2,1000.96,20,False,5.385
flatbuffers,1000,256,1024000.0,1024036.0,1.0,0.0012,0.5066,0.0056,0.014976,0.5272,0.5373,0.0066,0.5599,1927.59,173858.37,1852.3,56.07,0,0.42,20,False,569.938
arrow_ipc,1000,256,1024000.0,1024368.0,1.0004,0.1626,0.0996,0.024,0.013514,0.1371,0.1051,0.0281,0.1613,9805.93,40674.0,7122.34,392.06,0,1.52,20,True,2191.489
contexttable_ipc,1000,256,1024000.0,1090296.0,1.0647,3.3256,0.0961,0.0526,0.017286,0.166,0.098,0.0586,0.1804,10158.51,18572.89,5882.96,242.6,0,0.9,20,True,1810.142
json,5000,256,5120000.0,26416059.0,5.1594,0.0029,1000.4903,501.596,56.545681,1558.632,1039.6869,517.2747,1611.6569,4.88,9.73,3.13,0.05,2,66574.56,20,False,1.0
pickle,5000,256,5120000.0,5120139.0,1.0,0.0033,1.0542,1.0352,0.002472,2.0919,1.1201,1.0795,2.1542,4631.74,4716.66,2334.15,231.97,1,5001.82,20,False,745.735
base64_tobytes,5000,256,5120000.0,6826668.0,1.3333,0.001,10.1755,16.5596,0.022186,26.7573,10.3035,16.774,26.9717,479.86,294.86,182.49,11.41,1,5000.22,20,False,58.304
protobuf,5000,256,5120000.0,5120011.0,1.0,0.001,278.8683,0.9812,1.135782,280.9852,283.2107,1.0443,285.3635,17.51,4976.51,17.38,0.1,2,5000.96,20,False,5.553
flatbuffers,5000,256,5120000.0,5120036.0,1.0,0.0009,4.3164,0.0194,0.036227,4.372,4.6362,0.022,4.6889,1131.22,252029.14,1116.83,90.1,0,0.42,20,False,356.815
arrow_ipc,5000,256,5120000.0,5120368.0,1.0001,0.1247,0.4815,0.0351,0.016428,0.533,0.497,0.0387,0.5498,10141.04,139234.44,9161.21,198.97,0,1.52,20,True,2926.904
contexttable_ipc,5000,256,5120000.0,5450296.0,1.0645,19.9383,0.5043,0.0601,0.020697,0.5851,0.5388,0.0742,0.6411,9683.12,81242.77,8345.85,377.37,0,0.9,20,True,2666.406
json,100,512,204800.0,1056528.0,5.1588,0.0014,36.7655,18.5506,2.326416,57.6425,36.8999,18.8992,58.0165,5.31,10.53,3.39,0.01,2,2638.92,20,False,1.0
pickle,100,512,204800.0,204938.0,1.0007,0.003,0.0193,0.0175,0.000577,0.0374,0.0239,0.0289,0.0535,10106.73,11149.88,5219.61,827.75,1,201.82,20,False,1539.708
base64_tobytes,100,512,204800.0,273068.0,1.3333,0.0009,0.3813,0.6495,0.002198,1.033,0.4324,0.6929,1.0882,512.21,300.7,189.07,5.49,1,200.22,20,False,55.773
protobuf,100,512,204800.0,204809.0,1.0,0.0012,11.1661,0.0166,0.05368,11.2364,11.3422,0.0219,11.4127,17.49,11735.77,17.38,0.28,2,200.96,20,False,5.127
flatbuffers,100,512,204800.0,204836.0,1.0002,0.0006,0.0765,0.0031,0.010586,0.0901,0.0952,0.0035,0.1099,2552.67,64015.9,2166.53,132.96,0,0.42,20,False,639.094
arrow_ipc,100,512,204800.0,205168.0,1.0018,0.1253,0.0239,0.0141,0.007432,0.0455,0.0291,0.0185,0.0609,8161.83,13827.92,4293.9,469.18,0,1.52,20,True,1266.637
contexttable_ipc,100,512,204800.0,212600.0,1.0381,0.5041,0.019,0.0356,0.009479,0.0641,0.0225,0.0393,0.0815,10275.28,5484.77,3047.14,236.25,0,0.9,20,True,898.861
json,500,512,1024000.0,5281671.0,5.1579,0.0011,192.9641,92.363,11.37201,296.6991,197.7138,94.1349,301.6315,5.06,10.57,3.29,0.03,2,13215.13,20,False,1.0
pickle,500,512,1024000.0,1024139.0,1.0001,0.0038,0.1,0.0981,0.000965,0.1991,0.1203,0.1333,0.2841,9769.53,9949.69,4905.51,501.82,1,1001.86,20,False,1491.036
base64_tobytes,500,512,1024000.0,1365336.0,1.3333,0.0009,2.0191,3.2986,0.014552,5.3322,2.0449,3.3961,5.4535,483.67,296.05,183.14,2.36,1,1000.22,20,False,55.666
protobuf,500,512,1024000.0,1024010.0,1.0,0.0013,55.7639,0.0877,0.172827,56.0244,56.2121,0.0909,56.4701,17.51,11139.84,17.43,0.34,2,1000.96,20,False,5.298
flatbuffers,500,512,1024000.0,1024036.0,1.0,0.0009,0.5044,0.0054,0.014062,0.5238,0.5521,0.0066,0.5753,1936.14,181062.85,1864.23,102.99,0,0.42,20,False,566.635
